Car_ID. ,ID,Brand,Model,Mileage,Price,Currency,Engine_Power,GearBox,Year,Fuel_Type,Horse_Power,On_Page
6113484483,99,BMW,XM,300 km,809 000,PLN,4 395 cm3,Automatyczna,2023,Hybryda,585 KM,4
6118369367,100,BMW,Seria 7,5 km,673 450,PLN,2 998 cm3,Automatyczna,2023,Hybryda,381 KM,4
6119643975,101,BMW,X2,24 200 km,174 900,PLN,1 499 cm3,Automatyczna,2022,Hybryda,220 KM,4
6122841044,102,BMW,Seria 5,5 km,364 100,PLN,null,Automatyczna,2024,Hybryda,null,4
6122383156,103,BMW,Seria 7,5 km,625 900,PLN,2 998 cm3,Automatyczna,2023,Hybryda,489 KM,4
6119641395,104,BMW,XM,9 998 km,749 900,PLN,4 395 cm3,Automatyczna,2023,Hybryda,585 KM,4
6120762802,105,BMW,X2,14 206 km,189 900,PLN,1 499 cm3,Automatyczna,2022,Hybryda,220 KM,4
6117023663,106,BMW,Seria 3,20 km,239 900,PLN,1 998 cm3,Automatyczna,2023,Hybryda,164 KM,4
6117966135,107,BMW,X5,25 000 km,388 000,PLN,2 998 cm3,Automatyczna,2022,Hybryda,286 KM,4
6122590618,108,BMW,Seria 3,132 394 km,124 300,PLN,1 998 cm3,Automatyczna,2020,Hybryda,184 KM,4
6122380115,109,BMW,Seria 5,141 074 km,185 900,PLN,2 993 cm3,Automatyczna,2021,Hybryda,286 KM,4
6123054814,110,BMW,Seria 2,122 520 km,76 000,PLN,1 499 cm3,Automatyczna,2017,Hybryda,224 KM,4
6122370389,111,BMW,Seria 5,127 000 km,129 000,PLN,1 998 cm3,Automatyczna,2017,Hybryda,183 KM,4
6120267363,112,BMW,i3,34 000 km,87 900,PLN,647 cm3,Automatyczna,2017,Hybryda,170 KM,4
6119653719,113,BMW,Seria 3 330e xDrive M Sport,27 500 km,259 999,PLN,1 998 cm3,Automatyczna,2022,Hybryda,184 KM,4
6118029164,114,BMW,XM,25 000 km,699 900,PLN,4 395 cm3,Automatyczna,2023,Hybryda,489 KM,4
6122577565,115,BMW,Seria 5,69 966 km,140 000,PLN,1 998 cm3,Automatyczna,2018,Hybryda,252 KM,4
6122363132,116,BMW,X5,12 533 km,228 000,PLN,3 000 cm3,Automatyczna,2023,Hybryda,389 KM,4
6116615771,117,BMW,Seria 5,76 667 km,159 000,PLN,1 998 cm3,Automatyczna,2020,Hybryda,252 KM,4
6118506086,118,BMW,X1,5 km,273 200,PLN,1 499 cm3,Automatyczna,2023,Hybryda,136 KM,4
6118506066,119,BMW,X1,5 km,273 200,PLN,1 499 cm3,Automatyczna,2023,Hybryda,136 KM,4
6121434095,120,BMW,Seria 3,5 km,263 200,PLN,1 998 cm3,Automatyczna,2024,Hybryda,292 KM,4
6119824540,121,BMW,Seria 5,20 km,329 500,PLN,1 998 cm3,Automatyczna,2023,Hybryda,184 KM,4
6123043148,122,BMW,Seria 5,6 km,402 200,PLN,1 998 cm3,Automatyczna,2023,Hybryda,299 KM,4
6123040464,123,BMW,Seria 7 Active Hybrid,118 000 km,88 500,PLN,4 395 cm3,Automatyczna,2011,Hybryda,449 KM,4
6122345272,124,BMW,X3,15 850 km,309 900,PLN,1 998 cm3,Automatyczna,2023,Hybryda,292 KM,4
6112100281,125,BMW,XM,5 km,820 600,PLN,4 395 cm3,Automatyczna,2023,Hybryda,489 KM,4
6120872000,126,BMW,XM,6 km,825 000,PLN,4 395 cm3,Automatyczna,2023,Hybryda,653 KM,4
6111213058,127,BMW,X3,71 893 km,198 777,PLN,1 998 cm3,Automatyczna,2020,Hybryda,292 KM,4
6123037263,128,BMW,Seria 3,5 km,266 200,PLN,null,Automatyczna,2024,Hybryda,null,5
6121155683,129,BMW,Seria 5,5 km,471 800,PLN,2 998 cm3,Automatyczna,2024,Hybryda,489 KM,5
6114925507,130,BMW,Seria 3,14 800 km,269 900,PLN,1 998 cm3,Automatyczna,2022,Hybryda,184 KM,5
6121419828,131,BMW,Seria 3,6 000 km,289 900,PLN,1 998 cm3,Automatyczna,2023,Hybryda,293 KM,5
6111671010,132,BMW,Seria 2,31 000 km,97 800,PLN,1 499 cm3,Automatyczna,2019,Hybryda,136 KM,5
6113415461,133,BMW,XM,5 km,815 500,PLN,4 395 cm3,Automatyczna,2023,Hybryda,653 KM,5
6108926340,134,BMW,XM,5 km,794 600,PLN,4 395 cm3,Automatyczna,2023,Hybryda,653 KM,5
6112066993,135,BMW,XM,5 km,814 500,PLN,4 395 cm3,Automatyczna,2023,Hybryda,489 KM,5
6112067299,136,BMW,XM,5 km,814 500,PLN,4 395 cm3,Automatyczna,2023,Hybryda,489 KM,5
6119809257,137,BMW,Seria 5,14 000 km,279 900,PLN,1 998 cm3,Automatyczna,2023,Hybryda,184 KM,5
